id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
576,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L6",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"Chamberlain, Ann and Lubell, Bernie",Earth
577,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L6",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"Chamberlain, Ann and Lubell, Bernie",Air
578,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L6",San Francisco Arts Commission,,,"Chamberlain, Ann and Lubell, Bernie",Water
579,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L6",San Francisco Arts Commission,,,"Chamberlain, Ann and Lubell, Bernie",Fire
580,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L6",San Francisco Arts Commission,,,"Chamberlain, Ann and Lubell, Bernie",Untitled
581,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L6",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"Chamberlain, Ann and Lubell, Bernie",Earth
582,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L6",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"Chamberlain, Ann and Lubell, Bernie",Air
583,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1865-1906: The Foundation of the Almshouse and Relief Home at Laguna Honda
584,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",Woven
585,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1908: The Construction of Clarendon Hall
586,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1909: President Theodore Roosevelt Visits the Relief Home at Laguna Honda
587,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis","1926: Mayor James Rolf, Jr. Dedicates the Laguna Honda Main Hospital Building"
588,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1929-1941: Patient Care During the Great Depression
589,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis","1947-1954: University of California, San Francisco . . ."
590,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1949-1958: Community Activities at Laguna Honda
591,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis","1934-1954-1982: Glen Wessel's Murals are Created, Lost and Rediscovered"
592,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis","1954-1997: Virginia Leishman, Nursing Director"
593,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1974-1977: Gerald Simon Theater Entertains the Community
594,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1990-2000: Volunteers Contribute to Life at Laguna Honda
595,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1994: Staff and Residentes Celebrate the Rededication of the Bell Tower
596,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"deSoto, Lewis",1999: Proposition A for the Laguna Honda Project Gets 73% Voter Approval
597,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,bronze,bronze,"Garten, Cliff",Laguna Line (The Possibility of the Everyday)
598,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Courtyard E,San Francisco Arts Commission,fiberglass,fiberglass,"Glatt, Linnea",Re-connection/Re-cognition
599,2009,,168 in.,"37.7516878,-122.4649463",Public Display,District 7,J.P. Murphy Clubhouse,9th Avenue and Pacheco,San Francisco Arts Commission,"bronze, steel, concrete","patina-finished cast bronze, corten steel, concrete","Carey, Michael",Woman with Birds
600,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L1, Northwest Wall #2",San Francisco Arts Commission,tapestry,tapestry,"Hall, Diane Andrews",Rollers
601,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L1, Southwest Wall #2",San Francisco Arts Commission,tapestry,tapestry,"Hall, Diane Andrews",Swelling Cumulus
602,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L1, Northeast Wall",San Francisco Arts Commission,tapestry,tapestry,"Hall, Diane Andrews",Bird and Poem
603,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled
604,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2, North Residence",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled
605,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled (Chalkboards)
606,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled
607,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled (Chalkboards)
608,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled (Chalkboard)
609,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",It's Always Time for Flowers
610,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled (Chalkboards)
611,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled
612,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled
613,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled (Chalkboards)
614,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled
615,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",It's Always Time for Flowers
616,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled (Chalkboards)
617,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L2",San Francisco Arts Commission,mixed media,mixed media,"Hoff, Terry",Untitled (Chalkboards)
618,2009,"Collection of the City and County of San Francisco
Purchased for the San Francisco Zoo by the San Francisco Arts Commission",80 1/2 in. x 13 in. x 18 in.,"37.7336173,-122.5049211",Public Display,District 7,San Francisco Zoo,Animal Resource Center,San Francisco Arts Commission,"bronze, limestone",bronze and limestone,"Murrill, Gwynn",Hawk V
619,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
620,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L4, North Residence",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
621,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
622,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
623,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
624,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
625,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
626,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
627,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
628,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
629,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L4",San Francisco Arts Commission,glass,blown and laminated glass,"Huang, Arlan",Untitled glass panels]
630,2009,,10 in. x 84 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, Mezzanine",San Francisco Arts Commission,"wood, steel",wood and powder coated stainless steel,"Igarashi, Takenobu",Untitled wood relief]
631,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission," ceramic, wood, steel","glazed ceramic, wood and stainless steel","Igarashi, Takenobu",Horizontal Feeling
632,2009,,16 in. x 44 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, Mezzanine",San Francisco Arts Commission,"wood, steel",wood and powder coated stainless steel,"Igarashi, Takenobu",Untitled wood relief]
633,2009,,10 in. x 84 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, Mezzanine",San Francisco Arts Commission,"wood, steel",wood and powder coated stainless steel,"Igarashi, Takenobu",Untitled wood relief]
634,2009,,16 in. x 44 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, Mezzanine",San Francisco Arts Commission,"wood, steel",wood and powder coated stainless steel,"Igarashi, Takenobu",Untitled wood relief]
635,2009,,10 in. x 84 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, Mezzanine",San Francisco Arts Commission," ceramic, steel",glazed ceramic and powder coated stainless steel,"Igarashi, Takenobu",Untitled ceramic relief]
636,2009,,10 in. x 60 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, Mezzanine",San Francisco Arts Commission," ceramic, steel",glazed ceramic and powder coated stainless steel,"Igarashi, Takenobu",Untitled ceramic relief]
637,2009,,10 in. x 60 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, Mezzanine",San Francisco Arts Commission," ceramic, steel",glazed ceramic and powder coated stainless steel,"Igarashi, Takenobu",Untitled ceramic relief]
638,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, Mezzanine",San Francisco Arts Commission,terra cotta,terra cotta,"Igarashi, Takenobu",Landscape
639,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, Mezzanine",San Francisco Arts Commission,terra cotta,terra cotta,"Igarashi, Takenobu",Landscape
640,2009,,,"37.7478586,-122.4556651",Public Display,District 7,Laguna Honda Hospital,Aqua Therapy Room,San Francisco Arts Commission, ceramic tile,glazed ceramic tile,"Kim, Cheonae",somewhere
641,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,"aluminum, steel",aluminum and steel,"Igarashi, Takenobu",Sky Dancing
642,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Courtyard J,San Francisco Arts Commission,redwood,redwood,Living Lenses (Po Shu Wang & Loui,NEVERODDOREVEN
643,2009,,,"37.615223,-122.389979",Airport,outside city,International Terminal,Boarding Area G,San Francisco Arts Commission,"paint, pigmented ink",paint and pigmented ink,"Rojas, Clare",Blue Deer
644,2009,,312 in. x 480 in.,"37.716400, -122.457472",Public Display,District 11,Minnie and Lovie Ward Recreation Center,Capital,San Francisco Arts Commission,laminated digital print,laminated digital print,"Goldberg, Jim and Rubin, Jon",Imagine Even More
645,2009,,,"37.7701867,-122.451011",Library,District 1,Richmond Branch Library,,San Francisco Arts Commission,"bronze, porcelain enamel",bronze and porcelain enamel,"Donahue, Scott",To This Place
646,2009,,,"37.7243765,-122.4596396",Library,District 8,Glen Park Branch Library,2825 Diamond St.,San Francisco Arts Commission,glass,glass,"Lieb, Reddy and Raynsford, Linda",Six Degrees
647,2009,,,"37.615223,-122.389979",Airport,outside city,Terminal 2,Secure Connector,San Francisco Arts Commission,glass,frosted glass,"Zoell, Bob",Untitled frosted glass panels]
648,2009,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,Terminal 2,North and South Façade,San Francisco Arts Commission,,,"Sato, Norie",Air Over Under
649,2009,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,Terminal 2,"Post-security, Recomposure Area",San Francisco Arts Commission,"steel, fiber, electronics","powder-coated steel, colored fiber, computer-programmed 
airflow & colored light","Echelman, Janet",Untitled T-2 interior]
650,2009,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,144 in. x 150 in. x 12 in.,"37.615223,-122.389979",Airport,outside city,Terminal 2,"Children's Play Area, Between Gates 58A and 58B",San Francisco Arts Commission,"motors, electronics","mechanical butterflies, motors and custom electronics","Sowers, Charles",Butterfly Wall
651,2009,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,Terminal 2,Between Gates 54A and 54B,San Francisco Arts Commission,"wood, ink, plastic","wood, ink and plastic","Kitundu, Walter",San Francisco Bay Area Bird Encounters
652,2009,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,Terminal 2,Ticketing Lobby,San Francisco Arts Commission,"steel, cloth",powder coated steel and shade cloth,"Buster, Kendall",Topograph
653,2009,,52 in. x 72 in.,"37.734878, -122.389605",Public Display,District 10,Joseph Lee Recreation Center,1395 Mendell Street,San Francisco Arts Commission,"basalt, clay, concrete, glass, travertine, marble","basalt, basaltic clay, and concrete with glass, travertine and marble tile","Johnson, Amana",Time to Dream
654,2009,,,"37.76904,-122.4835193",Museum,District 1,Golden Gate Park,West Patio,San Francisco Arts Commission,steel,marine grade stainless steel,"Lin, Maya",Where the Land Meets the Sea
655,2009,,,"37.7699161,-122.4661846",Museum,District 1,California Academy of Science,,San Francisco Arts Commission,,,"Lin, Maya",What's Missing
656,2009,,,"37.731788, -122.440901",Public Display,District 8,Sunnyside Conservatory,236 Monterey Blvd.,San Francisco Arts Commission,bronze,bronze,Wowhaus,Sunnyside Menagerie
657,2009,,,"37.78187,-122.467743",Library,District 1,Richmond Branch Library,351 9th Ave.,San Francisco Arts Commission,,,"Donahue, Scott",Untitled Richmond Library]
658,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,steel,stainless steel,"Bates, Diana Pompelly",Reflection
659,2009,,,"37.759961,-122.3976046",Library,District 10,Potrero Branch Library,1616 20th Street,San Francisco Arts Commission,mixed media,mixed media,"Telcocci, Gina",here and past here
660,2009,,,"37.7424244,-122.4278691",Public Display,District 8,Upper Noe Recreation Center,30th and Day Streets,San Francisco Arts Commission,"steel, glass",stainless steel and glass,"Corliss, Troy",Noe Valley Natives
661,2009,,,"37.712643,-122.415717",Public Display,District 10,Coffman Pool,150 Hahn Street,San Francisco Arts Commission,,,"Gillman, Steve and Keefer, Katherine",The Swimmers
662,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,cotton thread tapestry,cotton thread tapestry,"Hall, Diane Andrews",Untitled tapestries]
663,2009,,,"37.712408, -122.407915",Library,District 10,Visitacion Valley Library,,San Francisco Arts Commission,"steel, aluminum",steel and aluminum,"Grieve, Mark and Spector, Ilana",Untitled
664,2009,,,"37.7694087,-122.4347522",Public Display,District 8,Harvey Milk Center for Recreational Arts,Duboce,San Francisco Arts Commission,mixed media,mixed media,"Davis, Michael and Schwartzenberg, Susan","Homage to the Amateur; The American Dream, A Tribute to Harvey Milk; Bio/Obscura"
665,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L5",San Francisco Arts Commission,,,"Smith, Owen",
666,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,glass,glass,"Smith, Owen",Untitled mosaics]
667,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L5",San Francisco Arts Commission,,,"Smith, Owen",
668,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L5",San Francisco Arts Commission,,,"Smith, Owen",
669,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L5",San Francisco Arts Commission,,,"Smith, Owen",
670,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L5",San Francisco Arts Commission,,,"Smith, Owen",
671,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L5",San Francisco Arts Commission,,,"Smith, Owen",
672,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L5",San Francisco Arts Commission,,,"Smith, Owen",
673,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L5",San Francisco Arts Commission,,,"Smith, Owen",
674,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, Entrance Lobby",San Francisco Arts Commission,,,"Smith, Owen",
675,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, Entrance Lobby",San Francisco Arts Commission,,,"Smith, Owen",
676,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, Entrance Lobby",San Francisco Arts Commission,,,"Smith, Owen",
677,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,ceramic tile mosaic,ceramic tile mosaic,"Smith, Owen",Building the Iron Horse
678,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,ceramic tile mosaic,ceramic tile mosaic,"Smith, Owen",Building the Iron Horse
679,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,ceramic tile mosaic,ceramic tile mosaic,"Smith, Owen",Building the Iron Horse
680,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,,San Francisco Arts Commission,ceramic tile mosaic,ceramic tile mosaic,"Smith, Owen",Building the Iron Horse
681,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,"glass, steel",glass and stainless steel,"Huang, Arlan",Untitled
682,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,"glass, steel",glass and stainless steel,"Huang, Arlan",Untitled glass block windows]
683,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,"glass, steel",glass and stainless steel,"Huang, Arlan",Untitled
684,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,"glass, steel",glass and stainless steel,"Huang, Arlan",Untitled
685,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"Link Building, L1",San Francisco Arts Commission,"glass, steel",glass and stainless steel,"Huang, Arlan",Untitled
686,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Lobby,San Francisco Arts Commission,gfrc,gfrc,"Smith, Owen",Untitled Sculpture Reliefs]
687,2009,,,"37.7842191,-122.4348103",Public Display,District 5,Hamilton Pool,1900 Geary Blvd.,San Francisco Arts Commission, ceramic tile,glazed ceramic tile,"Washington, Horace",Untitled
688,2009,,,"37.7683778,-122.4571623",Public Display,District 1,Golden Gate Park,Koret Children's Quarters,San Francisco Arts Commission,concrete,cast concrete aggregate,"Saulls, Vicky",Untitled group of animals]
689,2009,,,"37.7478586,-122.4556651",Public Display,District 7,Laguna Honda Hospital,Central Quad,San Francisco Arts Commission,"bronze, stone",bronze and stone,"Heffernon, Gerald",Rabbinoid on Cell Phone
690,2009,,,"37.7458728,-122.45221",Public Display,District 8,Youth Guidance Center,375 Woodside Ave.,San Francisco Arts Commission,,,"Cervantes, Morales and Poethig",Roots and Branches
691,2010,,,"37.7649169,-122.421886",Public Display,District 9,Valencia Street,Between 16th and 19th Street,San Francisco Arts Commission,"wood, steel","wood, steel","Arcega, Michael",Mission Post
692,2010,,,"37.7112195,-122.4037946",Public Display,District 10,Leland Ave. and Bayshore Blvd.,,San Francisco Arts Commission,steel,"recycled parking meter heads, steel and automotive paint",Rebar Group,Street Life
